"date","time","time_zone","format","text","notes","favorite","date_utc","time_utc","metadata"
"2023-08-15","01:54:34","Horário Padrão de Brasília","QR Code","35230817604918000142590006584111300867127431|20230811150149|11.90||h5mTiQrsDcUVV/HHAWDYyI71nyIUdXZXaa8KWHPQsofgfbHYFrx/vIRSKXn+1GnWwmVVi0XGCAT9Dug8LAPrtfxb2pD+TidPdDAVIuxwqqR7u3+q9WuOvIuG1xC4u8hv02nfFRgMk/6RI44KSlElzJ/g5Cx5pI/xEjhppyg+y4ep00gJaNxcgWbfn9mYvthx64ImzGDF/7EU3YUG+hO0aY7bmP6IN76+lMI3QgXeA4clcB8hBRAg3cWFsjgZrgFsWmSFMMri45jdkNuIBk2cxaliXscxU5QdFeLM0sL5xdhFV5laToYEE5Lkf2S7EMlqft41OX649FTmWYLrz4z2Pw==","","0","2023-08-15","04:54:34","{""ec"":""M""}"
"2023-08-15","01:54:47","Horário Padrão de Brasília","QR Code","35230817604918000142590006584111300923166751|20230811160151|15.60||WdXRE86JkvFrMHdPQHHPZFuQmOChB3Kgps1Jo4XZXvO614pK2fPWcJh2I71JpDRXUEfRPLEZbt/TpUnBL4O/NXcidE73GI9LTK2QNBZNXKY3nrOtRiaH3dOOXPJD9bUZ28y351UCgrTZvgyZzdGqyWjfvbRcXT9oLVif3FbCKmUi+0xfjSZEWjvgUW5gmGOAMlL0pTRzKuF1QkHZaQpLT/gPe1vh9mIfhJFHDXXkN/PSpIDCtRgMQ1QLUChtD4kQsSbj3orHrj/5b5mi0AOCU7l4oKoiw93fWRrrMn5wiLvmX6R7znkvZq7W2sA4F9pC8F3EZDII5nVr+jLJoJiv4A==","","0","2023-08-15","04:54:47",""
"2023-08-15","01:55:01","Horário Padrão de Brasília","QR Code","35230817604918000142590006584111294394045265|20230803143407|3.70||DtH91Bh+EZUT1Q7e7Uy5O3PWNAAfotf6xwZi8lxCn0JCm+IpgNbYvUl9h8qC+GNsUn4xEBo2dB3D4wp9hwUgkeVYUPzRsXN7ojSfAV4y1T2ubgVwS5OBDoIfJOixnOZoK2FfxQgADzzYlCdi+UHS31j2AhfFyv4tzmBBt35CsWtDQwULYlrmPGRRkmALsrblugyWT5FF9T63wFOacojRDzoeshMcOolc7b8FG0HV3awXWB+TuAjdoOVLYgwuCxIN1YqaSBJPj+zPabVfrM6x7AK0l6cDNFGfse8hb8G9rxCSgWGxdfxRQUocQ6XP5nLKKZxcJ0jrgpp3PYomFyDspQ==","","0","2023-08-15","04:55:01","{""ec"":""M""}"
"2023-08-15","01:55:12","Horário Padrão de Brasília","QR Code","35230817604918000142590006584111300361692340|20230811091358|20.80||dUB1//eNqt18p3LPw9PqyeIIBjJ9n4Qpw+aisELq+lMz2eOtg4VeMTae5O/fRXwj77+mszOvWHkiAzqdr6E+fIENKAndmTbzW7xSdC+OpbF2Zq9MTmE7F6m7FRZcxN8HFNIAPbtJo9vFR7bL+Krp4ryJzawcwE7r5bofmV+jjZg5vwQYWtqOt81bWV0dVOVsDiTEz9RNzfNvb5mPC9cjcEgFTTyIWs/t/GwX4vbEXn+EdAsduqaMH91CIcexGP8on9b6LARCzB+tB3ScJJca4c+Ok+sQySNJ6NV316F8T/eyXPgKlduZ3GYeCzQFzqb9H6+LeHbBzTk1pQxJBmk4HQ==","","0","2023-08-15","04:55:12",""
"2023-08-15","01:55:22","Horário Padrão de Brasília","QR Code","35230817604918000142590006584111300353332365|20230811091303|40.00||Oml3BNuZwoebdnz5q3tRHqTwbIMRISu2REC8OLTlZ6MPl/pbrUjk73XtFmJeK51JEU+M9fpUMXp/itHcWjg0mGUV3CdLNwi3PYy3F5CGFl/uT2132dt//8JS1XeApx10T+ctERC3KYH+4qbk6V7QsILRnwDq8HDZcL9MDaZX2qWC/Tdoo4lTMAgV8quNhEWbWWZJQ+tEkhDDIdR4pIx6+UEQcf/9uwZvDpqa0uGPw8VVsPupTELbxFp54q6vrM/jnPInOU1d+6iSCYgV5gXziywm/XPAfiWaev4A5ScUoimO93eTNJMhobG9Erb/Co+cKTBIefgsAUQS4lez3njMxA==","","0","2023-08-15","04:55:22","{""ec"":""M""}"
"2023-08-15","01:55:27","Horário Padrão de Brasília","QR Code","35230817604918000142590006584111300328490815|20230811090448|18.00||l2AijXB32iTpsmzP9QfnoiCFQ7QY4s1zhMzELlhtX67k4gOWkp6G9WzufUyAHTs5+OqSD8cEMpyklA14+xbXPmYzmevfc8dIonqYf+hO0D8F3lCY5UowxZBqVNTiQdm8o9x9CHcYSlVI8ifBscUyNTvJlJRbpIK8fKx5DJLeo9RvsAV5QMY3ApzoyoujDKb3XMJWC4NPgpdnC9odgyCPC3mVoG/3oY829hepGdY58wpnXf8tzFDbgfV1hXpHzhzUPkEsyaBFfjPhol3sN2KHtL2Hw9F6JdBuKSwxdlxDzeqVB7o5+zEAjlMRn5GOgsrsFXIKKWNREh3cLnIhEHoUbA==","","0","2023-08-15","04:55:27","{""ec"":""M""}"
"2023-08-15","01:55:33","Horário Padrão de Brasília","QR Code","35230817604918000142590006584111300349860433|20230811090923|5.75||JqTWz9p+bx2TQ3v9m8Nwezy3qX9/nXAiOwZimnT4TL1cc497tYmRTmVoLIdyR/4oeXFC/IjhtrOnoTcuMhdaE+8raHTFfrdZGDfwgpUu0CxU3GsADgUluhNighG6Y2iDA86SzeqJNpUc8TVVi/+WnVpUhGNKB0Ypkb4X6Em7HzYfm6r0ArRTNL9xkCRVWcC4FGXMi4bLPHMQOmSyUtRxRHEXtolQTkBV3anYlQmiVEyeDPkls6NsziDU6LHs8/HQYmP/8YPLDYDx39f19VarJ48eBEi1JtmHAtiZEyegtfExgtru2FNS+O8NUVUbSa89ojr6/1ok1/2LRicGzZoXDg==","","0","2023-08-15","04:55:33","{""ec"":""M""}"
"2023-08-15","01:55:45","Horário Padrão de Brasília","QR Code","35230817604918000142590006584111295108774792|20230804130127|1.80||XpEW/5O4rR1MoURROD6tISr4Ywa6gJUle22kcx9+3gbl2WrODeIuLHfNu55agsuvC3NrN3CYSoyw/zexAvTTRQuzrNJpsbzxc2AN9CiV8IAaq90IqpL2obltGyHcB83qNUQGbN7KoWEVZcGlFfMcyHlwZX3AKJv4FnnJMhazWxlqlqawXMOpiz+JOMMnnExcPi9CYRkVACjh7c0qf5bVhSzoVvrH24IxBkV08Fcd8uOQwHuJJ7VjAZdOyAUokVQ46UfohqqdID0bHdQo6jgYfuW/VWqWGTzVc5ZzEdAFS/6+R8p/dzTuIBJ18dPhXYjp96dvuGuFYte0SwxbMexoeg==","","0","2023-08-15","04:55:45","{""ec"":""M""}"
"2023-08-15","01:55:53","Horário Padrão de Brasília","QR Code","35230817604918000142590006584111301206042409|20230812082522|10.20||Yq55lNPTT4jHTLwHeHa2RaP4Koak6tH70JPp2/ptd/nydCOAoYiSMB4758OGDhiKU5AccdlXGhVa/rkTfosuFaQ/jZFG6laqQsJsNQZ4Gi6q9ILz96HIwy3MwMqVtgCSvVgbFhCxSp7dVtEBj/Dc20qAZx1smCQCn3VuqJ3xg+Caimx9mlzx1gIBwqv46LOE+b+YG3JALtpmHWF/JV/u4LMJzx33HAXuH3oqYH7kUrhOx9kP2oErWzBMc5wxnWnorczosGBbbs6mwk+iqJIs1VtSBuO2a2OK3FIbQ2RmiBBpJCTKCXAtdoRu/6NZFRRoN9gSZdfBCEL4ionRYP9Y7Q==","","0","2023-08-15","04:55:53","{""ec"":""M""}"
"2023-08-15","01:56:03","Horário Padrão de Brasília","Code 128","0006584111301194719994","","0","2023-08-15","04:56:03",""
