"date","time","time_zone","format","text","notes","favorite","date_utc","time_utc","metadata"
"2023-05-14","20:20:49","Horário Padrão de Brasília","QR Code","35230451832046000612590009623420995308800149|20230408202817|27.40||MnXdHqwV2raS0MaUuaTwkFtXKen1yxkMBk3FqRccCxINM1U3v96BxqSVIUggimjSUvg59ueVFk39wQ3hoe3q9xi1b1LAM7h/EY0qHRfqGgv0SW01DMXmj2Foog4XBcTdGtlsnyD6SoZL//mY0b731S861HlzjE42v2bqdxnBL1RvXHViZtID5W8B6jJp8dK3vYoj5f01PGK0BlGOGPvszlq03qb7L0uA8T8+R4Qo9r1rKp5hdgIP4agQ+8CtQI/Q4puaWVmRAZKVb8wcda+V7C9CMrGm2ecW3DMNNa0DIK8NYL6qtAg2tyl+dGALBjZ/pQqrrCwlrM2jNoU9lobrHg==","","0","2023-05-14","23:20:49",""
"2023-05-14","20:22:37","Horário Padrão de Brasília","QR Code","35230451832046000612590009623420983674130603|20230401115814|23.20||EOt5XPjeJS5DAldZSYqNvAJvSbLEJ1eR90jd9CHOXbHCnt/cOsPkWRr8YmLSJRpgLawBDPJnmKG36SYS5FtCPBZ+pGx+EjDq5N3PbC69F395BvHRVCETPHlQHN7jIPiViiESMH0ZEtsFOlXplA+rLm0V0paK1FGPBDR17ZOSINaE5VM+Zh5wSe3Idhb8JrY9YCyH+y0w77CU4LX4NpGSYCDr4duxRKZn/ANkVPHGEZvVpurqLyUg5QRUzYWuHxrPRUHoW5mXZhr2Et1w9Ntswsm+oIbvpdBeaebpn+8BauZw+wasbhKU5BBRm5l9+Snp0U4S1ihE78nl4TbUq73Dbw==","","0","2023-05-14","23:22:37",""
"2023-05-14","20:22:57","Horário Padrão de Brasília","QR Code","35230451832046000612590009623420983803491313|20230401133140|7.50||OyoZ0ukkK9PT7iV53s4JOVPa/tDskVKTu4MTPjhWNEetG6PAIT3ODAXX1ylYKiDcd1hccwniC9EK1LgNg2Pue36OyPd6/lYmwqm9H/dRETxvLYqUnFDpTLV5DiaX58YvN3+ZMZnC2OCyZhk2brENcTm6mhWkFuDJg/4qXQgJSDFd/iX5809IbJ8S+k01vi93HtmG6mdQ7vZjMNewGtlO38+lkt5gYHYA4vVQWYHvmWm5/Epe9pXXu2k7mIhQtnqI2UAgMMb7J73i04ymiYIkrrBajSAEvonfkBqqTzo842tdHJKEVqhEUWRQ94NVZSzc1NwxM1d3ezEhIIh1dO10ew==","","0","2023-05-14","23:22:57",""
"2023-05-14","20:23:12","Horário Padrão de Brasília","QR Code","35230451832046000612590009623421000232162114|20230412114649|6.50||d945L4jPlwvSZr/18xxmZLhFRiwpZMC0nAJmzpIb5FlLLUfv028yX4GWe5JPUtmNWHPlysmHHkLFD+rFXB4mcVnY0RbjlaNI41E91Hz2S6fE0WXHT7glsYzrv15ldHiytoPzFt798NBqHmhmX089B2hQoVgY7LyZkYJXjwIKu70bGPPnUJt5D9PxojL7pNJW/lKRxA9BilXb0mmQrzGFj74i0oAPLJrA5t75pjO0IQbrWkVwO2e0XEf50CoO689Hi58gR9XeoY/SU50J/izEirBdjvpbUCIEXi6/gTwF5yWhpUoxNfZzCDuG4jz52U5IMAg7Dne+Rn7IQ7cc3U7qKQ==","","0","2023-05-14","23:23:12",""
"2023-05-14","20:23:29","Horário Padrão de Brasília","QR Code","35230451832046000612590009623420990057455844|20230406092242|5.99||FIjBbL0JSBefGQUQxPN5RJVsBw+G3kuP6xUGiB6SNP8A0P3srjoTa/HStslBC16av9pFrWm8Y9Jyc0WWuUpTq/7mTe83A1sekrGvCAe7PxIW7SvfIpUr5AEodGFWuuknW+A+HY24onfZA/ShiKoplg7twYK7QNM4PLCHoRdQH4C5zt7Nao6AuYllJFa/FWBNgruvJeu9ho7XqSjNenl2cyx1D/23oJHr+rmH3CvPSfS1Hdww7soYkJ+Td3n3VXg82zJx3/KbeowBe8DT+HTWW4TDvcyvgg1xUNJU+je1r+Ix8CyBPRpDaAJw01sAPzBX3f/na9w2x4htoiU0ysCbZg==","","0","2023-05-14","23:23:29",""
"2023-05-14","20:23:45","Horário Padrão de Brasília","QR Code","35230451832046000612590009623420989807803726|20230406075112|13.75||juecUjO6mVHqZXdKWdvVGcP5qw/t7m/S31fmOR1Dq/hjm/V+RMi3khMGTfnbZcR6zUq+7977sBdOMjCJ7bVBpt+nUi2fra/QYVDnB0BD0x6GkdsLdV28t/mtm0EKAS0Coq5FsOERumR/wKpsdUNb5l6m6npWAVtiU0MkDUbbeb+2w9SVom3lUK89HDlY+eNuulRfMKjrvsw9lacOhArFgiVZ5S8G7NF8SZFjxQsh6vOAu9qBBXqsx6RIWHvABNN49nlbgtq2wrE1xtL6tZoyj/gzcgYstOcrfQhP5YZxYOvFk/LnvSTmwK0Jg3h852D6P6XKdyS+6Qf8dZVBPyduqg==","","0","2023-05-14","23:23:45",""
"2023-05-14","20:24:01","Horário Padrão de Brasília","QR Code","35230451832046000612590009623420992900856141|20230407174026|14.75||H012KCq+I980bfIvNR1NDukh7KT3qF8L5Kcks9p7s7vA6Z9PY4hjMkRJEwehxsOYRV8R0tLGBb5PhSXuPiTvrbF6oddrc2tq4QQWukGqe++AHdY2EdnrkAMD2VfOxcqXTFEPRfb2M5WgveujqUtsOBiuIX/a8ticFuze+dFW1moFj2UTFovZwzuqP8EgQvCHccOnaKhOM2jNYXvPe7QbjyxzDp1KvdHAiBwsOgGKM8fOu4mu/b7ZVS0flCzD5/d/qICSvGP4xvbDwWGDxn1eYaFeR3ScapPcUTTaMCiVEe/ruTsfl7FyC0bkXcgpY0NwrEh7Jsg73bkBPHfna3/hCA==","","0","2023-05-14","23:24:01",""
"2023-05-14","20:24:54","Horário Padrão de Brasília","QR Code","35230451832046000612590009623420983950727834|20230401151817|13.80||QfXeTkiCO9BXe3NPZwsUY8MsG/3aUdNJW89NYlYxydX14SqXdbuN8lYf+XigyOHv/BRsp2eRQNJQEQg/1cuTTUxcnQEUs7TCkmefinRrEoKbag7dx01fzkfPsEgwdt0n6keOhsV/ndTlnYlO6+LGdCi7E2zzGOguDrI1v1VBvFrJ/fm+Oba4gKHX5fmNtRcgXGUg0TB09ef9P1L5+7PlwQ+6YKXACUupAT+0pUv1U19mSdJe7e0kkXBNWIfHpu5qFDmcJtNBkh1pCb3p7A16/94fJmi1jRkADO/xL/P/I1lc7lUSzU1s/gK7SEiARm+owSXucmJB32l/B2eXLZUBaw==","","0","2023-05-14","23:24:54",""
"2023-05-14","20:25:20","Horário Padrão de Brasília","QR Code","35230451832046000612590001510911288349312098|20230401175142|40.02|26254570823|iY3MLaVf14Tgs+qC6rWnY/eJ+bklq2CJIWGmDRCa2j1+t7bm+KVQMQV3fBQPaPkfigB7XGefASiN7PUduh0htV4TkhDrP9WKYyOSbYAKc2D88OzOKAekC+5VsNYk8OO1Mlwu3+DiG2eU1qSP9gfkZgQjCk+3KVIN5wSeKZBTe4WRKxziwrIOe/wOXczSrkKg4+xdq5mufbOpalAg2d+bOAtH6EHdozmATrGvnn/A5SCaFTw/7OResNBO0FlCATqVGEH1gpZhrjVF5BQR8iK8qf9SC3kWyNmF/GjBKaXZmoDcWeBsccrZ8YCrqTn22+xhLbsrqtT2Nz3nJpGiItijSQ==","","0","2023-05-14","23:25:20","{""ec"":""L""}"
"2023-05-14","20:55:17","Horário Padrão de Brasília","Code 128","0009623420992621042300","","0","2023-05-14","23:55:17",""
